Rock,Metal,Transparent
16.06,13.96002,5.679993
21.02002,14.19998,13.66
11.53999,7.220001,8.580002
9.679993,9.180008,15.25999
11.37999,9.720001,10.66
14.22,14.62,9.439987
12.78,9.360001,6.919998
15.68002,16.89999,18.42001
11.25999,7.339996,7.220001
9.940002,7.559998,5.839996
17.54001,9.920013,12.36002
11.84,13.72,7.559982
11.39999,7.099991,5.720001
12.44,11.31999,11.57999
10.86,8.559998,6.479996
12.08,12.81998,9.26001
28.75999,104.82,27.22
14.56,15.5,9.880005
13.5,13.58,7.219986
5.519989,6.0,4.5
7.160004,5.080002,5.359985
12.5,15.57999,7.979996
9.679993,14.25999,13.15999
11.42001,8.360016,16.10001
5.839996,5.399994,5.619995
